"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Gene_Name","Gene_Name","Gene_Name","Gene_Name","Gene_Name"
"7","oas00360","Phenylalanine metabolism","1/8","26/8269",0.0248895245811143,0.0636065628184031,0.0261994995590677,"101118747",1,NA,NA,NA,NA,"GOT1"
"7","oas00250","Alanine, aspartate and glutamate metabolism","1/8","41/8269",0.0390008657715333,0.0778412333627713,0.0320627505842078,"101118747",1,NA,NA,NA,NA,"GOT1"
"7","oas00350","Tyrosine metabolism","1/8","42/8269",0.0399352353721445,0.0778412333627713,0.0320627505842078,"101118747",1,NA,NA,NA,NA,"GOT1"
"7","oas00270","Cysteine and methionine metabolism","1/8","49/8269",0.0464535946090968,0.0778412333627713,0.0320627505842078,"101118747",1,NA,NA,NA,NA,"GOT1"
"7","oas00380","Tryptophan metabolism","1/8","50/8269",0.0473816203077738,0.0778412333627713,0.0320627505842078,"100170113",1,NA,NA,NA,NA,"CYP1A1"
"7","oas04913","Ovarian steroidogenesis","1/8","50/8269",0.0473816203077738,0.0778412333627713,0.0320627505842078,"100170113",1,NA,NA,NA,NA,"CYP1A1"
"7","oas00330","Arginine and proline metabolism","1/8","56/8269",0.0529331965855543,0.0808759149416749,0.0333127338432528,"101118747",1,NA,NA,NA,NA,"GOT1"
"7","oas00140","Steroid hormone biosynthesis","1/8","65/8269",0.0612074820241806,0.0808759149416749,0.0333127338432528,"100170113",1,NA,NA,NA,NA,"CYP1A1"
"7","oas04924","Renin secretion","1/8","69/8269",0.0648645914583732,0.0808759149416749,0.0333127338432528,"101115586",1,NA,NA,NA,NA,"CA4"
"7","oas00980","Metabolism of xenobiotics by cytochrome P450","1/8","72/8269",0.0675992369792374,0.0808759149416749,0.0333127338432528,"100170113",1,NA,NA,NA,NA,"CYP1A1"
"7","oas00830","Retinol metabolism","1/8","73/8269",0.0685092291842109,0.0808759149416749,0.0333127338432528,"100170113",1,NA,NA,NA,NA,"CYP1A1"
"7","oas01230","Biosynthesis of amino acids","1/8","75/8269",0.0703268825579781,0.0808759149416749,0.0333127338432528,"101118747",1,NA,NA,NA,NA,"GOT1"
"7","oas05204","Chemical carcinogenesis","1/8","83/8269",0.0775664989140568,0.0849537845249193,0.0349924055251384,"100170113",1,NA,NA,NA,NA,"CYP1A1"
"7","oas04972","Pancreatic secretion","1/8","99/8269",0.0918978870399467,0.0960750637235807,0.0395732527923216,"101115586",1,NA,NA,NA,NA,"CA4"
